path	type	size	permissions	modification_time	user	group	device_id	hard_links	special_device_id	inode	block_size	blocks	flags	generation	access_time	change_time	birth_time	year_folder
DES, 3 2006-Dagang Aluh.txt	file	   3.32K	rw-	2014-02-03T04:18:26Z	Gede Primahadi W. Rajeg	CompLexico	428019990	0	0	37053	4096	7	0	0	1980-01-01T00:00:00Z	2014-02-03T04:18:26Z	2018-02-24T03:12:10Z	2006
DES, 3 2006-PANGALU.txt	file	   4.44K	rw-	2014-02-03T04:20:16Z	Gede Primahadi W. Rajeg	CompLexico	428019990	0	0	37054	4096	9	0	0	1980-01-01T00:00:00Z	2014-02-03T04:20:16Z	2018-02-24T03:12:40Z	2006
DES, 10 2006-Déwasa Guyu.txt	file	   3.15K	rw-	2014-02-03T04:20:19Z	Gede Primahadi W. Rajeg	CompLexico	428019990	0	0	37055	4096	7	0	0	1980-01-01T00:00:00Z	2014-02-03T04:20:19Z	2018-02-24T03:12:11Z	2006
DES, 10 2006-LACUR.txt	file	   4.16K	rw-	2014-02-03T04:20:21Z	Gede Primahadi W. Rajeg	CompLexico	428019990	0	0	37056	4096	9	0	0	1980-01-01T00:00:00Z	2014-02-03T04:20:21Z	2018-02-24T03:12:11Z	2006
DES, 3 2006-Midabdabin  Basa Bali.txt	file	   4.76K	rw-	2014-02-03T04:20:31Z	Gede Primahadi W. Rajeg	CompLexico	428019990	0	0	37057	4096	10	0	0	1980-01-01T00:00:00Z	2014-02-03T04:20:31Z	2018-02-24T03:12:10Z	2006
DES, 17 2006-KELIR.txt	file	   4.92K	rw-	2014-02-03T04:24:49Z	Gede Primahadi W. Rajeg	CompLexico	428019990	0	0	37058	4096	10	0	0	1980-01-01T00:00:00Z	2014-02-03T04:24:49Z	2018-02-24T03:12:11Z	2006
DES, 17 2006-MANYONYO.txt	file	   5.78K	rw-	2014-02-03T04:24:58Z	Gede Primahadi W. Rajeg	CompLexico	428019990	0	0	37059	4096	12	0	0	1980-01-01T00:00:00Z	2014-02-03T04:24:58Z	2018-02-24T03:12:11Z	2006
DES, 31 2006-Dumadak Cening Kasaraswatén.txt	file	   1.31K	rw-	2014-02-03T04:25:07Z	Gede Primahadi W. Rajeg	CompLexico	428019990	0	0	37060	4096	3	0	0	1980-01-01T00:00:00Z	2014-02-03T04:25:07Z	2018-02-24T03:12:09Z	2006
DES, 31 2006-Kautaman Ibu Pertiwi.txt	file	   1.37K	rw-	2014-02-03T04:25:14Z	Gede Primahadi W. Rajeg	CompLexico	428019990	0	0	37061	4096	3	0	0	1980-01-01T00:00:00Z	2014-02-03T04:25:14Z	2018-02-24T03:12:08Z	2006
DES, 31 2006-Léak Bajang.txt	file	   5.06K	rw-	2014-02-03T04:25:23Z	Gede Primahadi W. Rajeg	CompLexico	428019990	0	0	37062	4096	11	0	0	1980-01-01T00:00:00Z	2014-02-03T04:25:23Z	2018-02-24T03:12:11Z	2006
DES, 31 2006-TENUNG.txt	file	   3.5K	rw-	2014-02-03T04:25:30Z	Gede Primahadi W. Rajeg	CompLexico	428019990	0	0	37063	4096	7	0	0	1980-01-01T00:00:00Z	2014-02-03T04:25:30Z	2018-02-24T03:12:11Z	2006
DES, 31 2006-Tenung Inguh.txt	file	   3.29K	rw-	2014-02-03T04:25:37Z	Gede Primahadi W. Rajeg	CompLexico	428019990	0	0	37064	4096	7	0	0	1980-01-01T00:00:00Z	2014-02-03T04:25:37Z	2018-02-24T03:12:10Z	2006
DES, 10 2006-Masiat Sampian.txt	file	   4.23K	rw-	2014-02-03T04:25:58Z	Gede Primahadi W. Rajeg	CompLexico	428019990	0	0	37065	4096	9	0	0	1980-01-01T00:00:00Z	2014-02-03T04:25:58Z	2018-02-24T03:12:11Z	2006
DES, 10 2006-Ngawé Leluhur Garjita.txt	file	   1.55K	rw-	2014-02-03T04:26:04Z	Gede Primahadi W. Rajeg	CompLexico	428019990	0	0	37066	4096	4	0	0	1980-01-01T00:00:00Z	2014-02-03T04:26:04Z	2018-02-24T03:12:11Z	2006
DES, 17 2006-GUMATAT-GUMITIT.txt	file	   4.12K	rw-	2014-02-03T04:26:15Z	Gede Primahadi W. Rajeg	CompLexico	428019990	0	0	37067	4096	9	0	0	1980-01-01T00:00:00Z	2014-02-03T04:26:15Z	2018-02-24T03:12:10Z	2006
DES, 17 2006-Karauhan Peyote.txt	file	   5.04K	rw-	2014-02-03T04:26:23Z	Gede Primahadi W. Rajeg	CompLexico	428019990	0	0	37068	4096	11	0	0	1980-01-01T00:00:00Z	2014-02-03T04:26:23Z	2018-02-24T03:12:11Z	2006
