word_count	path	year_folder
468	DES, 10 2006-Déwasa Guyu.txt	2006
635	DES, 10 2006-LACUR.txt	2006
586	DES, 10 2006-Masiat Sampian.txt	2006
193	DES, 10 2006-Ngawé Leluhur Garjita.txt	2006
582	DES, 17 2006-GUMATAT-GUMITIT.txt	2006
706	DES, 17 2006-Karauhan Peyote.txt	2006
627	DES, 17 2006-Karauhan, Karauhang, lan Karauhin.txt	2006
514	DES, 17 2006-Karauhan, Sira Sané Rauh.txt	2006
703	DES, 17 2006-Karauhan_Ngrereh Pabuktian.txt	2006
678	DES, 17 2006-KELIR.txt	2006
861	DES, 17 2006-MANYONYO.txt	2006
480	DES, 3 2006-Dagang Aluh.txt	2006
673	DES, 3 2006-Midabdabin  Basa Bali.txt	2006
630	DES, 3 2006-PANGALU.txt	2006
189	DES, 31 2006-Dumadak Cening Kasaraswatén.txt	2006
186	DES, 31 2006-Kautaman Ibu Pertiwi.txt	2006
705	DES, 31 2006-Léak Bajang.txt	2006
485	DES, 31 2006-Tenung Inguh.txt	2006
496	DES, 31 2006-TENUNG.txt	2006
1166	APR, 1 2007-KIDANG EMAS.txt	2007
441	APR, 1 2007-Mabrayutan.txt	2007
508	APR, 1 2007-Solah Soléh.txt	2007
262	APR, 15 2007-Anutné Kebaya Matimpal Wastra.txt	2007
265	APR, 15 2007-Jejeh Sawahé Ical.txt	2007
242	APR, 15 2007-Juara I Lomba Nulis Bali.txt	2007
615	APR, 15 2007-KE(L)BAYA(H).txt	2007
492	APR, 15 2007-Mih, Kebayané  Ka-Baya-baya.txt	2007
389	APR, 15 2007-Nyrangcang.txt	2007
401	APR, 15 2007-Pacentokan Dharma Gita Radio Global.txt	2007
278	APR, 15 2007-Pragina Sujati, nénten Jaruh.txt	2007
371	APR, 15 2007-T O N G O S.txt	2007
273	APR, 29 2007-Berjuang tan pamerih.txt	2007
273	APR, 29 2007-Dalang Swagina Pingit.txt	2007
673	APR, 29 2007-Ngundang Gamang.txt	2007
298	APR, 29 2007-Pakaryan Pandé Méweh lan Ketil.txt	2007
247	APR, 29 2007-Pecah Rékor.txt	2007
499	APR, 29 2007-Saking Pandé Besi Ngantos Pandé Komputer.txt	2007
330	APR, 29 2007-Tumpek Landep lan Konsép Téknologi.txt	2007
