1166 words in APR, 1 2007-KIDANG EMAS.txt
441 words in APR, 1 2007-Mabrayutan.txt
508 words in APR, 1 2007-Solah Soléh.txt
262 words in APR, 15 2007-Anutné Kebaya Matimpal Wastra.txt
265 words in APR, 15 2007-Jejeh Sawahé Ical.txt
242 words in APR, 15 2007-Juara I Lomba Nulis Bali.txt
615 words in APR, 15 2007-KE(L)BAYA(H).txt
492 words in APR, 15 2007-Mih, Kebayané  Ka-Baya-baya.txt
389 words in APR, 15 2007-Nyrangcang.txt
401 words in APR, 15 2007-Pacentokan Dharma Gita Radio Global.txt
278 words in APR, 15 2007-Pragina Sujati, nénten Jaruh.txt
371 words in APR, 15 2007-T O N G O S.txt
273 words in APR, 29 2007-Berjuang tan pamerih.txt
273 words in APR, 29 2007-Dalang Swagina Pingit.txt
673 words in APR, 29 2007-Ngundang Gamang.txt
298 words in APR, 29 2007-Pakaryan Pandé Méweh lan Ketil.txt
247 words in APR, 29 2007-Pecah Rékor.txt
499 words in APR, 29 2007-Saking Pandé Besi Ngantos Pandé Komputer.txt
330 words in APR, 29 2007-Tumpek Landep lan Konsép Téknologi.txt
282 words in APR, 8 2007-Disiplin ring geria miwah ring sekolah.txt
766 words in APR, 8 2007-Léak Jegég.txt
1028 words in APR, 8 2007-Mangku Barong.txt
315 words in APR, 8 2007-Ngaptiang Muséum Sosrobahu ring Ubud.txt
205 words in APR, 8 2007-Ngutsahayang Bibit Duren Kani.txt
426 words in APR, 8 2007-NYAPLIR.txt
607 words in APR, 8 2007-Pocol Dueg.txt
619 words in AUG, 12 2007-Independence Day.txt
541 words in AUG, 12 2007-Magantung Bok Akatih.txt
359 words in AUG, 12 2007-Sekaa Shanti Dharma Guna.txt
585 words in AUG, 19 2007-Bangkung Téngésan.txt
472 words in AUG, 19 2007-Numbas Banten.txt
213 words in AUG, 19 2007-Panonton tan Kayun sané Ngametuang Sungsut.txt
935 words in AUG, 26 2007-Mare Teka.txt
680 words in AUG, 26 2007-Pasih Kampih.txt
577 words in AUG, 26 2007-Segara Wukir.txt
724 words in DES, 16 2007-Bangké Matah.txt
628 words in DES, 16 2007-Film lan Pilem.txt
300 words in DES, 16 2007-Galah Embang Kaanggén Malajah.txt
602 words in DES, 16 2007-Krama Désa Makarya Film.txt
365 words in DES, 16 2007-Makarya 'Video', Nangiang Krama.txt
469 words in DES, 23 2007-Anak Istri, Becik ring Pustakané, Kaon ring Kauripané.txt
742 words in DES, 23 2007-Satua I Raré Angon (1).txt
285 words in DES, 23 2007-Sloka Manawa Dharmasastra.txt
406 words in DES, 30 2007-Geguritan I Ketut Bongkling.txt
397 words in DES, 30 2007-Gelek-gelek.txt
1396 words in DES, 30 2007-Luh Jalir.txt
525 words in DES, 30 2007-Mapatén-paténan.txt
568 words in DES, 30 2007-Ngebutin Patén, Nincapang Géngsi.txt
395 words in DES, 30 2007-Nyiwi pertiwi.txt
402 words in DES, 30 2007-Patén, Napi Pentingné.txt
775 words in DES, 30 2007-Satua I Raré Angon.txt
998 words in DES, 9 2007-Lurah Métropolitan.txt
463 words in DES, 9 2007-Ngulati Kepemimpinan Panca Pandawa .txt
451 words in DES, 9 2007-Nitah Tanah Bali.txt
737 words in DES, 9 2007-Pemimpin.txt
465 words in DES, 9 2007-Sampunang Milih Pemimpin sangkaning Jinah.txt
411 words in DES, 9 2007-Sira mangkin.txt
612 words in FEB, 11 2007-Buang Jaruh.txt
712 words in FEB, 11 2007-Joged Jaruh, kadi Penyakit Kronis.txt
225 words in FEB, 11 2007-Ngégol ka Samping.txt
205 words in FEB, 11 2007-Tan Ulap ring Kuasa.txt
